humidity,soil_moisture,t_inside,t_outside
34.2,36,22.3,14.19
34.4,36,22.4,14.19
34.4,36,22.3,14.19
34.4,36,22.3,14.12
34.6,36,22.3,14.19
34.3,36,22.3,14.19
34.3,36,22.2,14.19
34.5,36,22.3,14.19
34.6,36,22.3,14.19
34.8,36,22.3,14.19
34.6,36,22.3,14.12
34.5,36,22.4,14.19
34.6,36,22.4,14.19
34.8,36,22.4,14.12
34.9,36,22.4,14.19
34.5,36,22.5,14.19
34.2,36,22.5,14.19
34.1,36,22.4,14.19
34.1,36,22.4,14.19
34.3,36,22.4,14.19
34.4,36,22.4,14.19
34.2,36,22.3,14.19
34.1,36,22.3,14.25
34.3,36,22.4,14.19
34.8,36,22.3,14.19
34.9,36,22.3,14.25
34.9,36,22.3,14.19
34.8,36,22.3,14.25
35,36,22.2,14.25
34.9,36,22.2,14.25
35,36,22.2,14.25
34.8,36,22.2,14.25
34.9,36,22.2,14.25
34.8,36,22.2,14.25
34.8,36,22.2,14.25
35,36,22.3,14.25
34.9,36,22.2,14.19
35.1,36,22.3,14.19
35.1,36,22.2,14.19
35.1,36,22.3,14.19
35.2,36,22.2,14.19
35.2,36,22.2,14.19
35.2,36,22.2,14.19
35.4,36,22.2,14.25
35.3,36,22.2,14.19
35.4,36,22.2,14.19
35.3,36,22.2,14.19
35.2,36,22.2,14.19
35.4,36,22.2,14.25
35.5,36,22.2,14.25
35,36,22.2,14.19
34.8,36,22.2,14.25
34.8,36,22.2,14.31
35.2,36,22.2,14.25
35.4,36,22.1,14.25
35.4,36,22.1,14.25
35.4,36,22.1,14.25
35.3,36,22.1,14.19
35.1,36,22.1,14.25
35,36,22,14.19
34.9,36,22,14.19
35,36,21.9,14.25
35.1,36,21.9,14.19
35.2,36,21.8,14.12
35.1,36,21.8,14.19
35.1,36,21.8,14.12
35.1,36,21.8,14.19
35.2,36,21.7,14.19
36.2,36,21.7,14.19
36.1,36,21.7,14.12
35.6,36,21.7,14.19
35.4,36,21.7,14.19
35.3,36,21.7,14.12
35.5,36,21.7,14.19
35.5,36,21.7,14.12
35.3,36,21.7,14.19
35.2,36,21.6,14.19
35.3,36,21.6,14.19
